Modified Name,Proteins,Carbs,Fats,Fiber,Item Details
Abjosh,0.0 g,0.4 g,0.0 g,0.0 g,0.5 g - 1 Cal
Abgoosht,21.6 g,26.4 g,13.4 g,5.6 g,250.0 g - 309 Cal
Abgoosht-e Morgh,23.2 g,26.4 g,6.5 g,5.6 g,250.0 g - 258 Cal
Konkani Abi Bhakri,4.1 g,15.2 g,3.8 g,2.2 g,50.0 g - 111 Cal
"Abiyuch, raw",0.0 g,0.2 g,0.0 g,0.1 g,1.0 g - 1 Cal
Abricot,0.4 g,4.1 g,0.1 g,0.7 g,35.0 g - 19 Cal
Absinthe,0.0 g,0.0 g,0.0 g,0.0 g,28.3 ml - 103 Cal
"Kecap Asin, ABC",0.3 g,0.3 g,0.0 g,0.0 g,5.0 ml - 7 Cal
"Purple Haze Lager Beer, Abita",1.8 g,11.0 g,0.0 g,0.0 g,354.9 ml - 128 Cal
"Noir ABINAO 85% Cacao, Valrhona",8.0 g,24.0 g,34.0 g,10.0 g,70.0 g - 440 Cal
"Mi Abalone, A1 Ak Koh",15.0 g,45.0 g,14.0 g,9.0 g,145.0 g - 360 Cal
"Abalone Noodle, A1 Ak Koh",15.0 g,45.0 g,14.0 g,9.0 g,145.0 g - 360 Cal
Mock Abalone,8.0 g,6.0 g,10.0 g,0.0 g,95.0 g - 146 Cal
Spicy Abalone,18.8 g,9.9 g,18.3 g,1.0 g,166.0 g - 284 Cal
Zuppa all Aglio,4.0 g,13.8 g,18.1 g,2.1 g,250.0 g - 231 Cal
"More Curd Rice, ABRL",4.9 g,36.2 g,4.5 g,0.0 g,275.0 g - 208 Cal
"Organic Almond Gum, ABNS Amirtham",1.1 g,1.1 g,2.5 g,0.0 g,5.0 g - 28 Cal
Amb,2.0 g,56.8 g,1.4 g,6.7 g,336.0 g - 249 Cal
"ABC Butter, Amazin' Graze",0.9 g,1.1 g,2.7 g,0.4 g,5.0 g - 30 Cal
Amba,2.4 g,33.9 g,0.3 g,10.1 g,336.0 g - 148 Cal
Abon Ikan Bandeng,11.9 g,18.7 g,13.0 g,0.7 g,100.0 g - 238 Cal
Abon Sapi,1.6 g,0.9 g,0.9 g,0.2 g,15.0 g - 18 Cal
Roti Abon,13.5 g,15.3 g,8.2 g,3.0 g,66.0 g - 187 Cal
Abon Ayam,2.1 g,0.4 g,0.6 g,0.1 g,10.0 g - 17 Cal
Roti Isi Abon,13.5 g,15.3 g,8.2 g,3.0 g,66.0 g - 187 Cal
Daging Abon,1.6 g,0.9 g,0.9 g,0.2 g,15.0 g - 18 Cal
Abood Shake,3.1 g,26.6 g,3.6 g,1.8 g,250.0 ml - 150 Cal
"Abon Sapi, Gloria",2.8 g,3.9 g,2.2 g,0.0 g,10.0 g - 47 Cal
Abon Daging Sapi,1.6 g,0.9 g,0.9 g,0.2 g,15.0 g - 18 Cal
"Abon Ayam, Gloria",3.7 g,3.1 g,2.1 g,0.0 g,10.0 g - 46 Cal
"Fruit Juice, Apple, ABC",0.0 g,29.0 g,0.0 g,0.0 g,250.0 ml - 120 Cal
Appe,0.8 g,4.1 g,1.4 g,0.4 g,20.0 g - 32 Cal
Appa,2.4 g,22.5 g,1.9 g,0.9 g,60.0 g - 116 Cal
"I'm the Jam, Ber,  Abrosaa",0.2 g,5.1 g,0.0 g,0.0 g,6.7 g - 21 Cal
"I'm the Ber Jam, Abrosaa",0.2 g,5.1 g,0.0 g,0.0 g,6.7 g - 21 Cal
Air Fried Arbi,3.7 g,20.7 g,2.4 g,4.8 g,100.0 g - 117 Cal
Abura Gyudon,31.0 g,82.2 g,35.3 g,3.3 g,478.0 g - 775 Cal
